forum_url,subject_num_answer,post_title,post_user,subject_title,post_date,post_text,subject_url,forum_title,subject_user,subject_date
http://salud.enfemenino.com/foro/all,1,estoy cansada de estar gorda que hacemos?,tonicor,estoy cansada de estar gorda que hacemos?,9:48,"Hola, espero que esto no se tome como spam, y si lo es pido disculpas y entenderé el borrado, pero a mi me sirvió apuntarme al foro-adelgazar.com , hay un apartado que es Grupos de Adelgazamiento, va por meses o épocas, lo montan foreros con objetivos similares, puedes postear lo que quieras, tus dudas, tu dieta diaria, y casi lo más importante, comprensión de gente que está pasando por lo mismo y no te va a machacar sino dar todo su apoyo etc.
Mucho ánimo!!",http://salud.enfemenino.com/foro/estoy-cansada-de-estar-gorda-que-hacemos-fd4912962,Salud,melusina2017,9 de mayo a las 9:48
http://salud.enfemenino.com/foro/all,2,Abdominoplastia Dr.Carlos Gullon Cabrero,lamonaculona,Abdominoplastia Dr.Carlos Gullon Cabrero,4 de abril a las 9:54,"Buenos dias! yo me opere con este cirujano de Gluteoplastia!, muy contenta con el resultado, cero problemas, espero que te vaya genial… ya nos contaras.",http://salud.enfemenino.com/foro/abdominoplastia-dr-carlos-gullon-cabrero-fd4551241,Salud,felicidadplena,9 de mayo a las 9:31
http://salud.enfemenino.com/foro/all,2,Abdominoplastia Dr.Carlos Gullon Cabrero,felicidadplena,Abdominoplastia Dr.Carlos Gullon Cabrero,9:31,"Hola guapa, muchas gracias por tu información, me opere el mes pasado, estoy bastante contenta, gracias por tu ayuda!",http://salud.enfemenino.com/foro/abdominoplastia-dr-carlos-gullon-cabrero-fd4551241,Salud,felicidadplena,9 de mayo a las 9:31
http://salud.enfemenino.com/foro/all,63,Cosas del adicto a la cocaína.,soypiedra,Cosas del adicto a la cocaína.,14 de julio de 2012 a las 13:19,"Libertad....que preciado tesoro!!
A todas y todos.
Por fin después de tres años de locura, después de un año intentando volver a la normalidad. He podido escapar de esta miseria.
Me fui, ahí se quedo él con sus falsas promesas, sus mentiras y todo el dolor.
Ahora soy feliz, ahora no rebusco en los cajones y vigilo cualquier polvo sospechoso sobre las mesas.
Ahora soy libre.
No os negare que duela separarse de una persona a la que has querido y que durante mucho tiempo desconfiare de todo aquel que se acerque a mi.
Pero os aseguro que dejarlo es la mejor decisión, alguien que os daña NO os quiere.
Suerte a todos los que estáis aun luchando.
Ser fuertes, ser libres, ser felices!!",http://salud.enfemenino.com/foro/cosas-del-adicto-a-la-cocaina-fd1225255,Salud,soypiedra,9 de mayo a las 9:13
http://salud.enfemenino.com/foro/all,63,Cosas del adicto a la cocaína.,annetaonli,Cosas del adicto a la cocaína.,16 de marzo de 2012 a las 20:12,"Muy bueno
Solo queria comentar que todos esos puntos son ciertos y esta muy bien la manera de ponerlos. Es muy doloroso tener a alguien cercano, que le quieres, con este tipo de adiccion.
Espero que tu ya estes fuera de todo eso.",http://salud.enfemenino.com/foro/cosas-del-adicto-a-la-cocaina-fd1225255,Salud,soypiedra,9 de mayo a las 9:13
http://salud.enfemenino.com/foro/all,63,Cosas del adicto a la cocaína.,soypiedra,Cosas del adicto a la cocaína.,27 de marzo de 2012 a las 1:17,"Gracias amiga.
Primero darte las gracias por leerlo al completo, se q es un poquito largo. Pero como ya he dicho, quería q quien como yo, buscaba las ""pistas"" pudiera saber.
decirte q aun no estoy fuera de esto, pero ya no me queda mucho. Como madre tengo q pensar en mis hijos y para ellos salir de casa corriendo seria un trauma, así q empezare este verano, poco a poco, de vacaciones q se alargan, hasta q se acostumbren. Es duro vivir con una persona q ya no amas.
Y quizás soy la peor de las pecoras aguantando aquí, mintiéndole, hasta ese día en el q por fin pueda escaparme.
Mientras tanto...voy ha hacer todo lo posible por ayudarlo, porque en el fondo de todo esto, le tengo cariño y no quiero dejarlo sin luchar. Ya os contare como me va.",http://salud.enfemenino.com/foro/cosas-del-adicto-a-la-cocaina-fd1225255,Salud,soypiedra,9 de mayo a las 9:13
http://salud.enfemenino.com/foro/all,63,Cosas del adicto a la cocaína.,quieroserfeliz29,Cosas del adicto a la cocaína.,15 de abril de 2012 a las 13:45,"Gracias!!
Me ha ayudado mucho leer tu mensaje. Yo acabo de dejar a mi pareja q es consumidor de coca desde hace muchos años. Jamas me lo ha admitido. Siempre me ha tratado de loca y paranoica y ya no puedo mas. lo he intentado todo y no he podido contra esa mierda.Me he convertido en una policia siempre buscando pruebas a todas horas y me he olvidado de mi.Te mando mucho animo y gracias otra vez",http://salud.enfemenino.com/foro/cosas-del-adicto-a-la-cocaina-fd1225255,Salud,soypiedra,9 de mayo a las 9:13
http://salud.enfemenino.com/foro/all,63,Cosas del adicto a la cocaína.,soypiedra,Cosas del adicto a la cocaína.,19 de abril de 2012 a las 10:21,"A ti amiga.
Me alegra ver que te a sido útil. No estas sola, no estas loca, no estas paranoica.
A veces las drogas pasan sus efectos hasta a quien no se las toman.
Enhorabuena por tu paso!! Se libre y se feliz!",http://salud.enfemenino.com/foro/cosas-del-adicto-a-la-cocaina-fd1225255,Salud,soypiedra,9 de mayo a las 9:13
http://salud.enfemenino.com/foro/all,63,Cosas del adicto a la cocaína.,lolita1427cl,Cosas del adicto a la cocaína.,19 de abril de 2012 a las 21:19,"Hola! Tengo 15 años, hace dos con tan solo 13 era una niña como cualquier otra sin ningun tipo de preocupacion asta que conoci a un chico de 17 años y comence una relacion con al principio todo iba muy bn asta que el fue cojiendo confianza y yo me entere de que tomaba todo tipo de sustancias peero la mas frecuente era la cocaina, al principio no le dije nada por miedo pero luego era duro ver como cada dia iba a. Mas , su comportamiento cambio era agresivo me ocultaba las cosas, no me dejaba salir de casa si no era con el, deje un poco de lado a mis amigas, yo era una niña de buenas notas de sobresalientes y comence a supe der nose la razon pero me volvio loca, yo lo pasaba muy mal y no me daba cuenta de donde me estaba metiendo, asta que comenzo a darme palizas y llorando le pdeia que me dejara pero el solo me decia: "" la culpa es tuya que no me quieres"" "" por que mira el daño que me has echo""
Siempre estaba igual me ocultaba de mis padres por miedo a que me vieran llena de ematomas. Me gustaria dejarle pero la gente que el frecuenta no es muy buena y cuando me distancio un poco de el viene donde mi con amenzas o preguntame para erir mis sentimeintos Aun sigo con el nose que hacer me sieto mal cuando llega a un bar y le veo temblar, y lo que mas duro se me hace es que el intenta no tembrlar y descarga su ira con migo, pegandome... Nose que hacer si dejarle o que me da miedo su reaccion, pero Tambien quiero ayudarle; que puedo hacer para que salga de ese mundo en el que esta metido? La droga? Las malas compañias?",http://salud.enfemenino.com/foro/cosas-del-adicto-a-la-cocaina-fd1225255,Salud,soypiedra,9 de mayo a las 9:13
http://salud.enfemenino.com/foro/all,63,Cosas del adicto a la cocaína.,crisdunna,Cosas del adicto a la cocaína.,20 de abril de 2012 a las 9:54,"Tienes razon pero...
Yo te comento, tienes razón en lo que dices en el comportamiento, y despues de leer el comentario de lolita1427cl y de todo lo que he visto solo puedo decir que des gracias que no te pone o a puesto la mano encima, o al menos si lo ha hecho no lo has dicho.
Yo entiendo que le quieras dejar mas que nada porque inicialmente te mintio, y cargar con un cocainómano es dificil. Pero tu misma tienes que saber que el tiene un problema, que si no quiere pedir ayuda es porque piensa que no le va a ayudar, no es que sea malo ni lo hace por ningún mal hacia ti, de hecho no creo que sea mala persona y pienso que si te lo ocultaba y te lo oculta es porque el se siente culpable por lo que hace y porque sabe que no es bueno, que por cierto es un gran paso. Yo he consumido cocaína durante años y cuando de verdad me di cuenta que lo necesitaba, pedí ayuda a mi hermana, me saco de mi ciudad y comence una vida nueva en otra... Fue la única forma de poder superarlo, al menos en mi caso, y yo también tenia esas actitudes.
Se que tú no tienes que cargar con nadie, y supongo no le debas nada, pero no sé si tendrá a alguién más, si no lo tiene y tu no le ayudas... Probablemente sea un cocainómano toda la vida.",http://salud.enfemenino.com/foro/cosas-del-adicto-a-la-cocaina-fd1225255,Salud,soypiedra,9 de mayo a las 9:13
